date,time,lat,long
06/18/2016,06:00:00,40.671254456999996,-73.926713851
09/20/2016,17:30:00,40.806538101,-73.918910596
04/07/2016,16:44:00,40.834348016999996,-73.908465527
12/10/2016,05:30:00,40.857450926999995,-73.928937965
06/29/2016,17:00:00,40.81181176,-73.938328651
03/03/2016,11:00:00,40.628233645,-74.144680905
09/07/2016,11:38:00,40.890421651,-73.863424427
08/25/2016,15:05:00,40.645042331999996,-74.013975747
07/24/2016,18:55:00,40.692192198,-73.739660091
06/04/2016,18:00:00,40.817474228,-73.89636049399999
11/20/2016,19:00:00,40.90456445,-73.84971737800001
07/12/2016,16:40:00,40.720317242,-73.982504819
04/05/2016,16:20:00,40.687073681,-73.94320361
03/27/2016,17:00:00,40.85062872,-73.907318975
12/04/2016,05:09:00,40.681352731,-73.911448113
07/25/2016,01:15:00,40.854410101,-73.882331632
11/13/2016,17:11:00,40.629570969,-73.90287766600001
08/16/2016,22:00:00,40.665707132,-73.914590468
06/10/2016,02:00:00,40.864468978000005,-73.920307802
02/11/2016,18:32:00,40.879695891,-73.908334387
09/30/2016,21:40:00,40.773793373000004,-73.936280628
02/07/2016,02:03:00,40.852776495,-73.88183568699999
09/27/2016,21:30:00,40.857922634,-73.892895732
03/30/2016,05:30:00,40.791151866999996,-73.884371919
07/24/2016,16:00:00,40.830264811,-73.906205469
06/30/2016,02:15:00,40.65257276,-73.951219199
05/31/2016,17:49:00,40.82506399,-73.877397261
02/19/2016,03:45:00,40.822991576,-73.89687219
08/21/2016,17:00:00,40.851342276,-73.907234844
10/31/2016,21:06:00,40.681567894000004,-73.912850351
10/07/2016,06:00:00,40.655345114,-73.951512704
06/18/2016,23:55:00,40.586855984,-74.100825453
05/17/2016,20:05:00,40.66322449,-73.949445222
11/22/2016,21:30:00,40.803848396999996,-73.953998008
10/08/2016,01:00:00,40.861377184,-73.90095931
02/22/2016,17:00:00,40.836446953,-73.91841157
11/17/2016,16:30:00,40.842686944,-73.846828469
02/06/2016,02:00:00,40.761645718000004,-73.98843929
09/19/2016,05:30:00,40.780132301,-73.950111124
07/16/2016,21:00:00,40.700601637,-73.85456625399999
07/13/2016,19:35:00,40.68859449,-73.949534164
03/23/2016,19:45:00,40.797467517,-73.932870163
09/26/2016,15:00:00,40.69522897,-73.97621137899999
01/19/2016,18:20:00,40.622702761999996,-73.988373293
05/02/2016,03:00:00,40.805182009,-73.9186305
06/18/2016,00:30:00,40.667929016,-73.956067132
09/09/2016,07:45:00,40.844267444,-73.908516935
04/24/2016,16:00:00,40.865857997,-73.924695292
12/05/2016,12:30:00,40.591214615,-73.989995434
05/29/2016,15:00:00,40.711842747,-73.99912852899999
06/18/2016,15:30:00,40.667297692,-73.909163377
04/22/2016,18:05:00,40.70998449,-73.99644134399999
09/15/2016,12:00:00,40.821910376,-73.903467704
09/19/2016,22:30:00,40.812520134,-73.902813002
